ordem,id,nome,tipo_power_bi,pagina,x,y,largura,altura,medida_ou_campo,observacao
1,fundo,Fundo da página,página,Fechamento,0,0,1280,720,,Exibir → Tamanho da página: 1280 x 720. Fundo #F3F6F7
2,titulo,Título do relatório,caixa de texto,Fechamento,16,12,1248,48,KPI Subtítulo Periodo,Faixa inteira. Não colocar KPI em cima desta faixa
3,filtro_competencia,Filtro Competência,segmentação,Fechamento,16,72,300,48,dCompetencia[Competencia],Lista suspensa. Já existe no relatório — só reposicionar
4,filtro_fluxo,Filtro Fluxo,segmentação,Fechamento,328,72,300,48,dFluxoDax[Fluxo],Lista suspensa. MDR / Pix / Antecipação
5,filtro_status,Filtro Status,segmentação,Fechamento,640,72,300,48,Status Layout,"Só funciona como coluna. Se não tiver coluna de status, deixe este espaço vazio"
6,filtro_extra,Espaço livre,—,Fechamento,952,72,312,48,,Reservado. Use para adquirente ou bandeira se existir no modelo
7,kpi_previsto,KPI Previsto,cartão,Fechamento,16,136,303,100,Previsto por Fluxo,Moeda com 2 casas. Unidades de exibição: Nenhum — não deixe abreviar
8,kpi_oficial,KPI Oficial,cartão,Fechamento,331,136,303,100,Oficial por Fluxo,Moeda com 2 casas. Unidades de exibição: Nenhum
9,kpi_diferenca,KPI Diferença,cartão,Fechamento,646,136,303,100,Diferença,Moeda com 2 casas. Unidades de exibição: Nenhum. Condicional: verde se 0 / vermelho se ≠ 0
10,kpi_status,KPI Status geral,cartão,Fechamento,961,136,303,100,Status Layout,Texto. Cor da fonte = medida Status Cor
11,tabela_fluxo,Conciliação por fluxo,tabela,Fechamento,16,248,820,148,"dFluxoDax[Fluxo], Previsto por Fluxo, Oficial por Fluxo, Diferença, Diferença %, Status Layout",Visual que você já tem no topo — só reposicionar
12,resumo_status,Resumo de status,cartão de várias linhas,Fechamento,852,248,412,148,"Qtd Fluxos OK, Qtd Fluxos Divergente, Qtd Fluxos Aguardando",Substitui a rosquinha. Status é medida — não vira legenda de gráfico
13,tabela_detalhe,Detalhe por fluxo,tabela,Fechamento,16,408,820,296,"dFluxoDax[Fluxo], Volume Transacionado, Custo Previsto, Transações Previstas, Spread Previsto",Visual que você já tem embaixo. Ordenar por Diferença Abs decrescente
14,cards_spread,Spread por fluxo,cartão de várias linhas,Fechamento,852,408,412,148,"Spread Previsto, Spread Oficial, Diferença",Substitui a fileira solta de cartões Spread Previsto MDR / Pix / Antecipação
15,regras,Caixa de regras,caixa de texto,Fechamento,852,568,412,136,Status Resumo,Texto fixo das regras + medida Status Resumo
